Type,Sigle,Désignation
PARTI POLITIQUE,P.R.I.T-LANNAYA ,Parti Républicain pour l’Indépendance Totale
PARTI POLITIQUE,P.S.U ,Parti Socialiste Unifié
PARTI POLITIQUE,P.U.N.D ,Parti pour l’Unité Nationale et le Développement
PARTI POLITIQUE,PA.R.I.S ,Parti Républicain pour l’Intégration et la Solidarité
PARTI POLITIQUE,PA.RE.N ,Parti de la Renaissance Nationale
PARTI POLITIQUE,PBL ,Parti Burkina Laafia
PARTI POLITIQUE,PCN ,Parti pour la Cohésion Nationale
PARTI POLITIQUE,PDJ ,Parti pour la Démocratie et la Jeunesse
PARTI POLITIQUE,PMP ,Parti des Militants du Peuple
PARTI POLITIQUE,R.D.E.B. F ,Rassemblement des Ecologistes du Burkina Faso
PARTI POLITIQUE,R.D.F ,Rassemblement des Démocrates pour le Faso
PARTI POLITIQUE,R.D.P.F ,Renaissance Démocratique et Patriotique au Faso
PARTI POLITIQUE,R.D.R ,Rassemblement Des Républicains
PARTI POLITIQUE,R.D.S ,Rassemblement pour la Démocratie et le Socialisme
PARTI POLITIQUE,R.F.I/P.J.B ,Rassemblement des Forces Indépendantes/Parti des Jeunes du Burkina
PARTI POLITIQUE,R.S.R ,Rassemblement pour un Sursaut Républicain
PARTI POLITIQUE,RECIT ,Renouveau Citoyen
PARTI POLITIQUE,RPR ,Rassemblement des Patriotes pour le Renouveau
PARTI POLITIQUE,U.F.D.B. ,Union des Forces Démocratiques du Burkina
PARTI POLITIQUE,U.M.P ,Union pour le Mouvement du Peuple
PARTI POLITIQUE,U.N.D.D ,Union Nationale pour la Démocratie et le Développement
PARTI POLITIQUE,U.N.D.P ,Union Nationale pour la Démocratie et le Progrès
PARTI POLITIQUE,U.P.C ,Union pour le Progrès et le Changement
PARTI POLITIQUE,U.P.R ,Union Pour la République
PARTI POLITIQUE,U.R.D.B ,Union pour la Renaissance Démocratique du Burkina
PARTI POLITIQUE,UBN ,Union pour un Burkina Nouveau
PARTI POLITIQUE,UDB/R ,Union Démocratique Burkinabè pour la Renaissance
PARTI POLITIQUE,UFP ,Union des Forces Progressistes
PARTI POLITIQUE,UNIC ,Union Nationale des Indépendants pour le Changement
PARTI POLITIQUE,UNIR/PS ,Union pour la Renaissance/Parti Sankariste
REGROUPEMENT INDEPENDANT,BEOGO-NEERE ,Regroupement Indépendant BEOGO-NEERE
REGROUPEMENT INDEPENDANT,BINIDJO ,BINIDJO
REGROUPEMENT INDEPENDANT,CMP ,Convergence des Masses Populaires
REGROUPEMENT INDEPENDANT,DT ,Développement pour Tous
REGROUPEMENT INDEPENDANT,ECOCULTURE ,ECOCULTURE
REGROUPEMENT INDEPENDANT,ID-NEERWAYA ,Les Indépendants pour le Développement Neerwaya
REGROUPEMENT INDEPENDANT,JCB ,Jeunesse Consciente du Burkina
REGROUPEMENT INDEPENDANT,LA FRATERNITE ,Regroupement d'Independant LAFRATERNITE
REGROUPEMENT INDEPENDANT,LE CHANGEMENT POSITIF,LE CHANGEMENT POSITIF
REGROUPEMENT INDEPENDANT,LES AFRANCHIS ,Les Afranchis
REGROUPEMENT INDEPENDANT,LIJEF ,Ligue des Jeunes pour l'Emploi et la Formation
REGROUPEMENT INDEPENDANT,MLN-BF ,Mouvement de Liberation Nationale
REGROUPEMENT INDEPENDANT,R.D.L ,Le Rassemblement des Libéraux
REGROUPEMENT INDEPENDANT,R.I.H ,Rassemblement des Indépendants du Houet
REGROUPEMENT INDEPENDANT,RID ,Regroupememnt des Indépendants pour la Démocratie
REGROUPEMENT INDEPENDANT,RIPIT ,Regroupement des Indépendants Pour l'Intégration et la Tolérance
REGROUPEMENT INDEPENDANT,SOLEIL D'AFRIQUE ,Regroupement d'Indépendants pour la Paix et le Développement
REGROUPEMENT INDEPENDANT,UDS ,Union pour le Developpement du Sanmatenga
