No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
238,SANGURA,ANTONINA MUYOKA,39,BUNGOMA,64,UNITED DEMOCRATIC PARTY,UDP
239,TOILI,MARGARET NABWALA,39,BUNGOMA,1,NATIONAL RAINBOW COALITION- KENYA,NARC- KENYA
240,WAKWABUBI,CONSALATA NABWIRE,39,BUNGOMA,IND,INDEPENDENT,IND
241,WAMBILIANGA,CATHERINE NANJALA,39,BUNGOMA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
242,WANYONYI,REGINALDA NAKHUMICHA,39,BUNGOMA,27,JUBILEE PARTY,JP
243,WAVOMBA,KELLAN KHAOMA,39,BUNGOMA,62,AMANI NATIONAL CONGRESS,ANC
244,BETT,ZILPAH CHEPKEMOI,40,BUSIA,2,THE NATIONAL VISION PARTY,NVP
245,CHELANGAT,GRACE LYDIA,40,BUSIA,54,CHAMA CHA MASHINANI,CCM
246,JUMA,ELIZABETH DEMTILA,40,BUSIA,64,UNITED DEMOCRATIC PARTY,UDP
247,MANG'ENI,SUSAN AUMA,40,BUSIA,62,AMANI NATIONAL CONGRESS,ANC
248,MASINDE,ISABELLA ANYONA,40,BUSIA,27,JUBILEE PARTY,JP
249,MULAMA,TAYLOR AQUINATA,40,BUSIA,3,THE LABOUR PARTY OF KENYA,LPK
250,MUTUA,FLORENCE MWIKALI,40,BUSIA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
251,NAGILA,PAULINE MORINE,40,BUSIA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
252,ODIMA,ROSEMARY HANDA,40,BUSIA,IND,INDEPENDENT,IND
253,OYUGI,WINNIE AWUOR,40,BUSIA,IND,INDEPENDENT,IND
254,ALUODO,FLORENCE AKINYI,41,SIAYA,IND,INDEPENDENT,IND
255,ODUOR,OMBAKA CHRISTINE,41,SIAYA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
256,OMWAMBA,VIOLET,41,SIAYA,27,JUBILEE PARTY,JP
257,AKUMU,GRACE ADHIAMBO,42,KISUMU,61,CITIZENS CONVENTION PARTY,CCP
258,ANYANGO,BEATRICE OKALO,42,KISUMU,27,JUBILEE PARTY,JP
259,BUYU,ROZAAH AKINYI,42,KISUMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
260,ODHIAMBO,HULDA ATIENO,42,KISUMU,IND,INDEPENDENT,IND
261,JUMA,FLORENCE REBECCA,43,HOMA BAY,IND,INDEPENDENT,IND
262,OKUNA,LILIAN ACHIENG,43,HOMA BAY,27,JUBILEE PARTY,JP
263,WANGA,GLADYS ATIENO NYASUNA,43,HOMA BAY,21,ORANGE DEMOCRATIC MOVEMENT,ODM
264,APELA,AGNES ACHIENG,44,MIGORI,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
265,BHOKE,ANGELLAH BEVIN,44,MIGORI,49,FEDERAL PARTY OF KENYA,FPK
266,MOHAMMED,FATUMA ZAINAB,44,MIGORI,IND,INDEPENDENT,IND
267,NCHAMAH,BHOKE CHRISTINE,44,MIGORI,27,JUBILEE PARTY,JP
268,OCHIENG,PAMELA AWUOR,44,MIGORI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
269,OHANYA,ROSELINE AKINYI,44,MIGORI,62,AMANI NATIONAL CONGRESS,ANC
270,AUNGA,GLADYS KEMUNTO,45,KISII,34,SAFINA,SAFINA
271,DORICE,ABURI,45,KISII,27,JUBILEE PARTY,JP
272,KERAA,MARY SALLY,45,KISII,IND,INDEPENDENT,IND
273,KEROSI,REBECCAH KEMUMA,45,KISII,67,MAENDELEO CHAP CHAP PARTY,MCCP
274,MARWA,LILIAN KEMUNTO,45,KISII,62,AMANI NATIONAL CONGRESS,ANC
275,MASENGE,ANNE KERUBO,45,KISII,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
276,MONGARE,LINET NYAETI,45,KISII,19,KENYA SOCIAL CONGRESS,KSC
277,MOSE,ISABELLA BOCHABERI,45,KISII,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
278,OMBUI,NORAH MORAA,45,KISII,9,KENYA NATIONAL CONGRESS,KNC
279,ONCHABO,PAMELLA MORAA,45,KISII,25,PROGRESSIVE PARTY OF KENYA,PPOK
280,ONDERI,VICKY NYABOKE,45,KISII,33,KENYA AFRICAN NATIONAL UNION,KANU
281,ONGERA,JANET,45,KISII,21,ORANGE DEMOCRATIC MOVEMENT,ODM
282,CHAE,ALICE NYANCHOKA,46,NYAMIRA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
283,KOMENDA,JANET BOCHABERI,46,NYAMIRA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
284,MATINI,MARY BUYAKI SAITI,46,NYAMIRA,67,MAENDELEO CHAP CHAP PARTY,MCCP
285,MOMANYI,JERUSHA MONGINA,46,NYAMIRA,27,JUBILEE PARTY,JP
286,NYAMATO,CATHERINE MORAA,46,NYAMIRA,IND,INDEPENDENT,IND
287,NYAMONGO,GRACE BOSIBORI,46,NYAMIRA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
288,OBAIGWA,ANNED NYAKERARIO,46,NYAMIRA,33,KENYA AFRICAN NATIONAL UNION,KANU
289,OCHOKI,EUNIAH NYANDUKO,46,NYAMIRA,54,CHAMA CHA MASHINANI,CCM
290,OMWEGA,ANNAH NYAERA,46,NYAMIRA,IND,INDEPENDENT,IND
291,ONSONGO,NANCY NYABOKE,46,NYAMIRA,8,RESTORE AND BUILD KENYA,RBK
292,KHAN,NADYA,47,NAIROBI CITY,67,MAENDELEO CHAP CHAP PARTY,MCCP
293,MACHARIA,ROSEMARY WAIRIMU,47,NAIROBI CITY,IND,INDEPENDENT,IND
294,NDAMBUKI,RAHAB WANGUI,47,NAIROBI CITY,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
295,OMOLO,TERESIA ANTONY,47,NAIROBI CITY,44,PARTY OF DEMOCRATIC UNITY,PDU
296,PASSARIS,ESTHER MUTHONI ROSANNA,47,NAIROBI CITY,21,ORANGE DEMOCRATIC MOVEMENT,ODM
297,SHEBESH,RACHEL WAMBUI,47,NAIROBI CITY,27,JUBILEE PARTY,JP
298,THEURI,KHADIJA RUGURU,47,NAIROBI CITY,52,MZALENDO SABA SABA PARTY,MSS
299,WAINAINA,WINNIE WANJA,47,NAIROBI CITY,14,PARTY OF NATIONAL UNITY,PNU
