No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
27,BARAKO,HANTIRO ABDUL RAHMAN,4,TANA RIVER,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA
28,BULE,ALI ABDI,4,TANA RIVER,33,KENYA AFRICAN NATIONAL UNION,KANU
29,KARANJA,JOHN MWANGI,4,TANA RIVER,2,THE NATIONAL VISION PARTY,NVP
30,KOMORA,OMAR KOFA,4,TANA RIVER,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
31,MADHOBE,DUBOW BILE,4,TANA RIVER,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
32,MARO,MOHAMED ODHA,4,TANA RIVER,31,KENYA PATRIOTS PARTY,KPP
33,NKADUDA,MICHAEL JUSTIN,4,TANA RIVER,21,ORANGE DEMOCRATIC MOVEMENT,ODM
34,OMARA,BAKARI GARISE,4,TANA RIVER,54,CHAMA CHA MASHINANI,CCM
35,SHAMBARO,MOLU GALGALO,4,TANA RIVER,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
36,WAKO,OSMAN ABDI,4,TANA RIVER,13,DEMOCRATIC PARTY OF KENYA,DP
37,WARIO,GOLICH JUMA,4,TANA RIVER,27,JUBILEE PARTY,JP
38,ALBEITY,HASSAN ABDALLA,5,LAMU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
39,LALI,ABDULRAHMAN ABOUD,5,LAMU,IND,INDEPENDENT,IND
40,LOITIPTIP,ANUAR,5,LAMU,27,JUBILEE PARTY,JP
41,MOHAMED,MOHDHAR ALI,5,LAMU,34,SAFINA,SAFINA
42,SALIM,MOHAMED HASHIM,5,LAMU,62,AMANI NATIONAL CONGRESS,ANC
43,SHEELALI,ABDALLAH ATHMAN,5,LAMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
44,WAIHIGA,DAVID MWAURE,5,LAMU,17,AGANO PARTY,AGANO
45,KIWOI,JEREMIAH,6,TAITA TAVETA,32,SOCIAL DEMOCRATIC PARTY OF KENYA,SDP
46,LAY,JOYCE WANJALAH,6,TAITA TAVETA,27,JUBILEE PARTY,JP
47,MWAENI,HARUN MWADALI,6,TAITA TAVETA,76,THIRDWAY ALLIANCE KENYA,TAK
48,MWANDOE,ELIJAH MWAMIDI,6,TAITA TAVETA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
49,MWARUMA,JOHNES MWASHUSHE,6,TAITA TAVETA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
50,MWAWASI,DONALD KISAKA,6,TAITA TAVETA,17,AGANO PARTY,AGANO
51,NGETI,CLEOPHAS MAGHANGA,6,TAITA TAVETA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
52,NYAMBU,ANNA KINA,6,TAITA TAVETA,33,KENYA AFRICAN NATIONAL UNION,KANU
53,ABDI,YUSSUF ISSA,7,GARISSA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
54,AHAMED,ADEN SUGOW,7,GARISSA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
55,GONI,MOHAMED YUSSUF,7,GARISSA,IND,INDEPENDENT,IND
56,HAJI,MOHAMED YUSUF,7,GARISSA,27,JUBILEE PARTY,JP
57,IBRAHIM,IDRISS ABDILQADIR,7,GARISSA,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA
58,KARUR,MOHAMED DAKANE,7,GARISSA,33,KENYA AFRICAN NATIONAL UNION,KANU
59,MOHAMUD,AHMEDNOOR SALEH,7,GARISSA,76,THIRDWAY ALLIANCE KENYA,TAK
60,ABDIKADIR,ABDIRAHMAN ADAN,8,WAJIR,21,ORANGE DEMOCRATIC MOVEMENT,ODM
61,ABIKAR,ADOW MOHAMMED,8,WAJIR,33,KENYA AFRICAN NATIONAL UNION,KANU
62,ALI,ABDULLAHI IBRAHIM,8,WAJIR,27,JUBILEE PARTY,JP
63,ALI,MAHAT SALAT,8,WAJIR,34,SAFINA,SAFINA
64,BARAKA,ABDIA HASSAN,8,WAJIR,77,JUSTICE AND FREEDOM PARTY,JFP
65,BARRE,HUSSEIN ABDI,8,WAJIR,62,AMANI NATIONAL CONGRESS,ANC
66,HUSSEIN,ADAN NOOR,8,WAJIR,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
67,KEYNAN,WARSAME HUSSEIN,8,WAJIR,48,ECONOMIC FREEDOM PARTY,EFP
68,MOHAMED,ABDI KHALIF,8,WAJIR,3,THE LABOUR PARTY OF KENYA,LPK
69,KHALIF,ABDINASIR MOHAMED,9,MANDERA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
70,MAHAMUD,MOHAMED MAALIM,9,MANDERA,27,JUBILEE PARTY,JP
71,OSMAN,HASSAN ADEN,9,MANDERA,48,ECONOMIC FREEDOM PARTY,EFP
72,ABAGARO,GALGALLO WAKO,10,MARSABIT,33,KENYA AFRICAN NATIONAL UNION,KANU
73,HARGURA,GODANA,10,MARSABIT,27,JUBILEE PARTY,JP
74,SEGELAN,JOHN LOTO,10,MARSABIT,46,FRONTIER ALLIANCE PARTY,FAP
75,WATO,MOHAMED ADAN,10,MARSABIT,21,ORANGE DEMOCRATIC MOVEMENT,ODM
76,ADAN,DULLO FATUMA,11,ISIOLO,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
77,ANNA,MOHAMED LIBANI,11,ISIOLO,27,JUBILEE PARTY,JP
78,HUKA,MOLU,11,ISIOLO,14,PARTY OF NATIONAL UNITY,PNU
79,ILERE,ANDREW MOLA,11,ISIOLO,33,KENYA AFRICAN NATIONAL UNION,KANU
80,KAARIA,KEN MUTUMA,11,ISIOLO,75,EMPOWERMENT AND LIBERATION PARTY,ELP
81,ROBA,HUSSEIN HALAKE,11,ISIOLO,IND,INDEPENDENT,IND
82,WAKO,OBAROBA GODANA,11,ISIOLO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
83,IMANYARA,MILTON MUGAMBI,12,MERU,14,PARTY OF NATIONAL UNITY,PNU
84,ITEWA,ZABLON MATHENGE,12,MERU,10,MAZINGIRA GREENS PARTY OF KENYA,MGPK
85,LINTURI,FRANKLIN MITHIKA,12,MERU,27,JUBILEE PARTY,JP
86,MARANYA,JAPHETH KOBIAH,12,MERU,IND,INDEPENDENT,IND
87,MEENYE,GIDEON KAUMBUTHU,12,MERU,13,DEMOCRATIC PARTY OF KENYA,DP
88,MWITI,KATHENDU ANDERSON,12,MERU,IND,INDEPENDENT,IND
89,THURANIRA,GIDEON GITONGA,12,MERU,67,MAENDELEO CHAP CHAP PARTY,MCCP
90,A K,KITHURE KINDIKI,13,THARAKA - NITHI,27,JUBILEE PARTY,JP
91,KIRIIRO,FRANCIS KIAMBI MATANKA,13,THARAKA - NITHI,67,MAENDELEO CHAP CHAP PARTY,MCCP
92,KANAKE,JOSHUA M,14,EMBU,67,MAENDELEO CHAP CHAP PARTY,MCCP
93,KATHANGU,AUGUSTINE NJERU,14,EMBU,56,FORUM FOR REPUBLICAN DEMOCRACY,FORD
94,MUNDIGI,ALEXANDER MUNYI,14,EMBU,IND,INDEPENDENT,IND
95,NDWIGA,PETER NJERU,14,EMBU,27,JUBILEE PARTY,JP
96,NJERU,KENNEDY NDEGWA,14,EMBU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
97,KAMETA,DORCAS MWENDE,15,KITUI,27,JUBILEE PARTY,JP
98,KILONZI,ELIJAH MUIMI,15,KITUI,36,CHAMA CHA UZALENDO,CCU
99,KILONZO,STEPHEN MUTUA,15,KITUI,67,MAENDELEO CHAP CHAP PARTY,MCCP
100,MUTIISYA,RAVASPAUL KYALO,15,KITUI,IND,INDEPENDENT,IND
101,WAMBUA,ENOCH KIIO,15,KITUI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
102,HENRY,KIOKO MWALILI CARLOS,16,MACHAKOS,67,MAENDELEO CHAP CHAP PARTY,MCCP
103,KABAKA,BONIFACE MUTINDA,16,MACHAKOS,36,CHAMA CHA UZALENDO,CCU
104,KALLA,JACKSON MUSYOKA,16,MACHAKOS,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
105,KATUKU,JOHN MUTUA,16,MACHAKOS,66,PEOPLES TRUST PARTY,PTP
106,MUTUA,WINFRED NUNUVA,16,MACHAKOS,27,JUBILEE PARTY,JP
107,JUNIOR,MUTULA KILONZO,17,MAKUENI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
108,KATUMO,URBANUS MUTHOKA,17,MAKUENI,IND,INDEPENDENT,IND
109,MAUNDU,PETER ELIUD MUTUA,17,MAKUENI,27,JUBILEE PARTY,JP
110,NZEKI,DANIEL MUTHENYA,17,MAKUENI,67,MAENDELEO CHAP CHAP PARTY,MCCP
111,KAMAU,BEATRICE GATHONI,18,NYANDARUA,IND,INDEPENDENT,IND
112,METHU,JOHN MUHIA,18,NYANDARUA,67,MAENDELEO CHAP CHAP PARTY,MCCP
113,MWANGI,PAUL GITHIOMI,18,NYANDARUA,27,JUBILEE PARTY,JP
114,KIONGO,DANIEL WAMAHIU,19,NYERI,IND,INDEPENDENT,IND
115,KIRINYAGA,ENG EPHRAIM MWANGI MAINA,19,NYERI,27,JUBILEE PARTY,JP
116,MURAYA,PATRICK GUKURA,19,NYERI,67,MAENDELEO CHAP CHAP PARTY,MCCP
117,MWARIRI,PAUL KANJA,19,NYERI,IND,INDEPENDENT,IND
118,NDERI,STEVE MAINA,19,NYERI,40,NEW DEMOCRATS,ND
119,NYAMU,WAMBUGU,19,NYERI,IND,INDEPENDENT,IND
120,DICKSON,DANIEL KARABA,20,KIRINYAGA,27,JUBILEE PARTY,JP
121,KARIMI,DISHON KIRIMA,20,KIRINYAGA,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA
122,KIBIRU,CHARLES REUBENSON,20,KIRINYAGA,IND,INDEPENDENT,IND
123,GITURA,JAMES KEMBI,21,MURANG'A,IND,INDEPENDENT,IND
124,KANG'ATA,IRUNGU,21,MURANG'A,27,JUBILEE PARTY,JP
125,GITHUKU,KEVIN CHEGE,22,KIAMBU,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA
126,KIMANI,WAMATANGI PAUL,22,KIAMBU,27,JUBILEE PARTY,JP
127,KIMEMIAH,JULIET GATHONI,22,KIAMBU,33,KENYA AFRICAN NATIONAL UNION,KANU
128,THANGWA,PAUL KARUNGO,22,KIAMBU,IND,INDEPENDENT,IND
129,EROT,WILLIAM LOSENGEI,23,TURKANA,54,CHAMA CHA MASHINANI,CCM
130,FREDRICK,DAMIEN ARYONG NAWOT,23,TURKANA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
131,IMANA,MALACHY CHARLES EKAL,23,TURKANA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
132,KAITUKO,GEOFFREY EYANAE,23,TURKANA,27,JUBILEE PARTY,JP
133,MURGOR,JULIUS RECHA,24,WEST POKOT,27,JUBILEE PARTY,JP
134,POGHISIO,SAMUEL LOSURON,24,WEST POKOT,33,KENYA AFRICAN NATIONAL UNION,KANU
135,LELEGWE,STEVE LTUMBESI,25,SAMBURU,27,JUBILEE PARTY,JP
136,LEPARIYO,PARTAMEI,25,SAMBURU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
137,LESHORE,SAMMY PRISA,25,SAMBURU,33,KENYA AFRICAN NATIONAL UNION,KANU
138,CHEMUIGUT,PETER KIPTANUI,26,TRANS NZOIA,IND,INDEPENDENT,IND
139,KIRWA,KIPRUTO RONO,26,TRANS NZOIA,62,AMANI NATIONAL CONGRESS,ANC
140,KITIAVI,BEATRICE KHAKALI,26,TRANS NZOIA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
141,KORE,STANLEY KILIMO,26,TRANS NZOIA,33,KENYA AFRICAN NATIONAL UNION,KANU
142,MBITO,MICHAEL MALING'A,26,TRANS NZOIA,27,JUBILEE PARTY,JP
143,NDIEMA,HENRY TIOLE,26,TRANS NZOIA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
144,NDOMBI,JOHN LEWIS,26,TRANS NZOIA,IND,INDEPENDENT,IND
145,OKUMU,CATHERINE NABWALA MUKIITE,26,TRANS NZOIA,IND,INDEPENDENT,IND
146,SIFUNA,DAVID KINISU,26,TRANS NZOIA,IND,INDEPENDENT,IND
147,WAFULA,JOHN KENNEDY WANJALA,26,TRANS NZOIA,IND,INDEPENDENT,IND
148,KAMAR,MARGARET JEPKOECH,27,UASIN GISHU,27,JUBILEE PARTY,JP
149,KIYENG,PHILIP KIPSOI,27,UASIN GISHU,3,THE LABOUR PARTY OF KENYA,LPK
150,MURGOR,THOMAS KIPKURUI,27,UASIN GISHU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
151,ROTICH,ROBERT KEMEI,27,UASIN GISHU,IND,INDEPENDENT,IND
152,TONUI,EMILIANO KIPKORIR,27,UASIN GISHU,33,KENYA AFRICAN NATIONAL UNION,KANU
153,CHEPSOI,CORNELIUS KIPCHIRCHIR,28,ELGEYO MARAKWET,IND,INDEPENDENT,IND
154,KIBOSS,JOEL KIPKEMBOI,28,ELGEYO MARAKWET,IND,INDEPENDENT,IND
155,KIMAIYO,DAVID MWOLE,28,ELGEYO MARAKWET,33,KENYA AFRICAN NATIONAL UNION,KANU
156,MURKOMEN,ONESIMUS KIPCHUMBA,28,ELGEYO MARAKWET,27,JUBILEE PARTY,JP
157,KORIR,THOMAS KIPRONO,29,NANDI,67,MAENDELEO CHAP CHAP PARTY,MCCP
158,SAMSON,CHERARKEY K,29,NANDI,27,JUBILEE PARTY,JP
159,AYABEI,KENNEDY KIPCHUMBA,30,BARINGO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
160,CHELUGUI,SIMON KIPRONO,30,BARINGO,27,JUBILEE PARTY,JP
161,MOI,GIDEON KIPSIELEI TOWETT,30,BARINGO,33,KENYA AFRICAN NATIONAL UNION,KANU
162,KAMUNYA,JOHN MAINA NJENGA,31,LAIKIPIA,33,KENYA AFRICAN NATIONAL UNION,KANU
163,NDERITU,JOHN KINYUA,31,LAIKIPIA,27,JUBILEE PARTY,JP
164,KIHIKA,SUSAN WAKARURA,32,NAKURU,27,JUBILEE PARTY,JP
165,KIIRU,MARGARET WANJIKU,32,NAKURU,IND,INDEPENDENT,IND
166,MUNYUTHE,WILLY MUKOMA,32,NAKURU,IND,INDEPENDENT,IND
167,OGADA,SAMWEL OMONDI,32,NAKURU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
168,RONO,DANIEL,32,NAKURU,76,THIRDWAY ALLIANCE KENYA,TAK
169,KIPLANGAT,ALBERT,33,NAROK,2,THE NATIONAL VISION PARTY,NVP
170,LANKAS,NKOIDILA OLE,33,NAROK,27,JUBILEE PARTY,JP
171,MAITAI,THOMAS,33,NAROK,IND,INDEPENDENT,IND
172,OLE KINA,LEDAMA,33,NAROK,21,ORANGE DEMOCRATIC MOVEMENT,ODM
173,MPAAYEI,PHILLIP SALAU,34,KAJIADO,27,JUBILEE PARTY,JP
174,OLESEKI,OLIVER LEMACHON,34,KAJIADO,3,THE LABOUR PARTY OF KENYA,LPK
175,PAITAH,PAUL SAINEPO,34,KAJIADO,14,PARTY OF NATIONAL UNITY,PNU
176,PARANTAI,JASON KAREISI,34,KAJIADO,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
177,TINAAYAI,DANIEL KOILEL OLE,34,KAJIADO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
178,BIEGON,ISAAC KIPKURUI,35,KERICHO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
179,CHERUIYOT,AARON KIPKIRUI,35,KERICHO,27,JUBILEE PARTY,JP
180,KOECH,TONY KIPKORIR,35,KERICHO,67,MAENDELEO CHAP CHAP PARTY,MCCP
181,MUTAI,DAVID KIPKOECH A,35,KERICHO,33,KENYA AFRICAN NATIONAL UNION,KANU
182,TOWEET,ANDREW KIBET,36,BOMET,IND,INDEPENDENT,IND
183,KIRUI,SAMUEL KIPKEMOI,36,BOMET,2,THE NATIONAL VISION PARTY,NVP
184,KOSKEY,STEPHEN KIPLANGAT,36,BOMET,54,CHAMA CHA MASHINANI,CCM
185,LANGAT,ANDREW KIMUTAI,36,BOMET,21,ORANGE DEMOCRATIC MOVEMENT,ODM
186,LANGAT,CHRISTOPHER ANDREW,36,BOMET,27,JUBILEE PARTY,JP
187,SALAT,NICHOLAS KIPTOO ARAP KORIR,36,BOMET,33,KENYA AFRICAN NATIONAL UNION,KANU
188,ANDATI,MARTIN LUTHER KINGS A,37,KAKAMEGA,28,MAENDELEO DEMOCRATIC PARTY,MDP
189,LIVONDO,STANLEY,37,KAKAMEGA,27,JUBILEE PARTY,JP
190,MALALAH,CLEOPHAS WAKHUNGU,37,KAKAMEGA,62,AMANI NATIONAL CONGRESS,ANC
191,MWONYONYO,CAROLYNE INDASI,37,KAKAMEGA,71,NATIONAL LIBERAL PARTY,NLP
192,PANYAKO,SETH AMBUSINI,37,KAKAMEGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
193,WASHIKO,SAMMY OLIVER AINA,37,KAKAMEGA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
194,AMAYI,JAIRUS BOSTON,38,VIHIGA,49,FEDERAL PARTY OF KENYA,FPK
195,ETENDE,HENRY EMBEYWA,38,VIHIGA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
196,GEORGE,KHANIRI,38,VIHIGA,62,AMANI NATIONAL CONGRESS,ANC
197,IMBWAGA,HUMPHREY LIHANDA,38,VIHIGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
198,KENYA,PATRICK RALPH,38,VIHIGA,27,JUBILEE PARTY,JP
199,MAKOMERE,MAURICE KANGAYA,38,VIHIGA,25,PROGRESSIVE PARTY OF KENYA,PPOK
200,SAISI,JULIUS AMIRA,38,VIHIGA,64,UNITED DEMOCRATIC PARTY,UDP
201,MAKALI,DAVID BARASA,39,BUNGOMA,62,AMANI NATIONAL CONGRESS,ANC
202,MUKHWANA,EUSEBIUS JUMA,39,BUNGOMA,27,JUBILEE PARTY,JP
203,NYONGESA,BONFACE WAYNE,39,BUNGOMA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
204,WAMUKOTA,CHRISPUS WAMOYO,39,BUNGOMA,IND,INDEPENDENT,IND
205,WETANGULA,MOSES MASIKA,39,BUNGOMA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
206,ABDI,ALI NOOR,40,BUSIA,27,JUBILEE PARTY,JP
207,EGESSA,FELIX REUBEN,40,BUSIA,IND,INDEPENDENT,IND
208,FELIX,LONE OKUMU,40,BUSIA,IND,INDEPENDENT,IND
209,KASSAM,KAREN ADUOL,40,BUSIA,3,THE LABOUR PARTY OF KENYA,LPK
210,MAINGA,PETER HILLARY,40,BUSIA,72,MOVEMENT FOR DEMOCRACY AND GROWTH,MDG
211,OKOITI OKIYA,ANDREW OMTATAH,40,BUSIA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
212,OMALA,FRANCIS MUGENI,40,BUSIA,8,RESTORE AND BUILD KENYA,RBK
213,OMULEPU,JOEL,40,BUSIA,41,UNITED DEMOCRATIC MOVEMENT,UDM
214,WAKO,SITSWILA AMOS,40,BUSIA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
215,OLUOCH,JACOB OCHIENG,41,SIAYA,27,JUBILEE PARTY,JP
216,ORENGO,JAMES AGGREY BOB,41,SIAYA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
217,ABUDHO,MILLICENT ANYANGO,42,KISUMU,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
218,AYOKI,WINSTON OCHORO,42,KISUMU,27,JUBILEE PARTY,JP
219,MUGA,JAMES OGODA,42,KISUMU,IND,INDEPENDENT,IND
220,OUTA,FREDRICK OTIENO,42,KISUMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
221,KAJWANG,MOSES OTIENO,43,HOMA BAY,21,ORANGE DEMOCRATIC MOVEMENT,ODM
222,OGOLLA,JOHN OWUOR,43,HOMA BAY,27,JUBILEE PARTY,JP
223,RABONGO,FRED,43,HOMA BAY,IND,INDEPENDENT,IND
224,ASIAGO,TIMOTHY GHOROBAH,44,MIGORI,IND,INDEPENDENT,IND
225,KAWA,FRANCIS DAWO,44,MIGORI,IND,INDEPENDENT,IND
226,MIJUNGU,BILLY GRAHAM OKUMU,44,MIGORI,IND,INDEPENDENT,IND
227,OGOLA,DICKSON OGOLA,44,MIGORI,IND,INDEPENDENT,IND
228,OKELLO,BEN OLUOCH,44,MIGORI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
229,OKETCH,EDDY GICHERU,44,MIGORI,IND,INDEPENDENT,IND
230,OWINO,CHARLES OYUGI,44,MIGORI,62,AMANI NATIONAL CONGRESS,ANC
231,RUGARIA,SOLOMON HODO,44,MIGORI,IND,INDEPENDENT,IND
232,ATEMBA,RICHARD MINYEGA,45,KISII,9,KENYA NATIONAL CONGRESS,KNC
233,GEKONE,VINCENT MOSE,45,KISII,38,PEOPLES EMPOWERMENT PARTY,PEP
234,MAGARA,JAMES OMINGO,45,KISII,39,PEOPLES DEMOCRATIC PARTY,PDP
235,MISHAEL,SAMWEL OKEMWA,45,KISII,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
236,MOKUA,RICHARD LAUREL,45,KISII,19,KENYA SOCIAL CONGRESS,KSC
237,NYACHAE,CHARLES AYAKO,45,KISII,27,JUBILEE PARTY,JP
238,NYAMWEGA,BENAYO M IHAJI,45,KISII,75,EMPOWERMENT AND LIBERATION PARTY,ELP
239,OMBATI,KENNEDY MOMANYI,45,KISII,3,THE LABOUR PARTY OF KENYA,LPK
240,ONCHAGWA,ISAAC MOKUA,45,KISII,IND,INDEPENDENT,IND
241,ONGERI,SAMSON KEGENGO,45,KISII,21,ORANGE DEMOCRATIC MOVEMENT,ODM
242,RASUGU,OOGA JUSTUS,45,KISII,71,NATIONAL LIBERAL PARTY,NLP
243,ABUYA,ABUYA,46,NYAMIRA,19,KENYA SOCIAL CONGRESS,KSC
244,MOGAKA,TOM NYAYIEMI,46,NYAMIRA,8,RESTORE AND BUILD KENYA,RBK
245,MOGENI,ERICK OKONGO,46,NYAMIRA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
246,MOSE,NYAMBEGA,46,NYAMIRA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
247,OMBASA,JOSEPH KIANGOI,46,NYAMIRA,27,JUBILEE PARTY,JP
248,RIOBA,TIMOTHY OBARE,46,NYAMIRA,IND,INDEPENDENT,IND
249,SAMUEL,MOUNDE WALTER,46,NYAMIRA,62,AMANI NATIONAL CONGRESS,ANC
250,GORASIA,RAMESHCHANDRA GOVIND,47,NAIROBI CITY,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
251,LENGEWA,SUZANNE SILANTOI,47,NAIROBI CITY,IND,INDEPENDENT,IND
252,MATAYO,ZACHARIAH MOMANYI,47,NAIROBI CITY,58,REPUBLICAN LIBERTY PARTY,RLP
253,NTHUMBI,DENNIS NDWIGA,47,NAIROBI CITY,17,AGANO PARTY,AGANO
254,SAKAJA,JOHNSON ARTHUR,47,NAIROBI CITY,27,JUBILEE PARTY,JP
255,SIFUNA,EDWINE WATENYA,47,NAIROBI CITY,21,ORANGE DEMOCRATIC MOVEMENT,ODM
256,WAMAGATA,JOHN,47,NAIROBI CITY,34,SAFINA,SAFINA
