No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv
18,WOPWOKO,FANUEL CHAMWOMA,1,MOMBASA,2,JOMVU,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
19,ABDULHAKIM,JAMALLAT,1,MOMBASA,3,KISAUNI,67,MAENDELEO CHAP CHAP PARTY,MCCP
20,BEDZIMBA,RASHID JUMA,1,MOMBASA,3,KISAUNI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
21,JUMA,WILLIS ODHIAMBO,1,MOMBASA,3,KISAUNI,IND,INDEPENDENT,IND
22,KAVINGO,SAMUEL TUVA,1,MOMBASA,3,KISAUNI,64,UNITED DEMOCRATIC PARTY,UDP
23,LEWAH,FRANCIS RUNYAH,1,MOMBASA,3,KISAUNI,27,JUBILEE PARTY,JP
24,MBOGO,ALI MENZA,1,MOMBASA,3,KISAUNI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
25,THUKU,TONY CORNELIUS GAKUI,1,MOMBASA,3,KISAUNI,IND,INDEPENDENT,IND
26,ADALLA,SIMON ODHIAMBO,1,MOMBASA,4,NYALI,70,GREEN CONGRESS OF KENYA,GCK
27,BAYUSUF,ASHRAF HASSAN AWADH,1,MOMBASA,4,NYALI,27,JUBILEE PARTY,JP
28,LUNANI,KELVIN KWENA,1,MOMBASA,4,NYALI,62,AMANI NATIONAL CONGRESS,ANC
29,MACHARIA,CRISPUS WAITHAKA,1,MOMBASA,4,NYALI,67,MAENDELEO CHAP CHAP PARTY,MCCP
30,MBURU,JOHN MUIRURI,1,MOMBASA,4,NYALI,8,RESTORE AND BUILD KENYA,RBK
31,MCHARO,JOHN CHARLES,1,MOMBASA,4,NYALI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
32,MOHAMED,MOHAMED ALI,1,MOMBASA,4,NYALI,IND,INDEPENDENT,IND
33,MUTHOKA,DAVID NYAMAI,1,MOMBASA,4,NYALI,IND,INDEPENDENT,IND
34,MWARANDU,FERDINAND KATANA C,1,MOMBASA,4,NYALI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
35,ODHIAMBO,MILLICENT L ATIENO,1,MOMBASA,4,NYALI,60,VIBRANT DEMOCRATIC PARTY,VDP
36,ONYANCHA,JOHN MOMANYI,1,MOMBASA,4,NYALI,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
37,OTIENO,JAPHETH MARINE,1,MOMBASA,4,NYALI,IND,INDEPENDENT,IND
38,OUMA,GEOFFREY OCHIENG,1,MOMBASA,4,NYALI,IND,INDEPENDENT,IND
39,SALIM,SAID ABDALLA,1,MOMBASA,4,NYALI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
40,DOMOKO,KHAMIS ALI,1,MOMBASA,5,LIKONI,IND,INDEPENDENT,IND
41,GANIKO,WAZIRI MOHAMED,1,MOMBASA,5,LIKONI,IND,INDEPENDENT,IND
42,MBOKO,MISHI JUMA KHAMISI,1,MOMBASA,5,LIKONI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
43,MWAHIMA,MWALIMU MASUDI,1,MOMBASA,5,LIKONI,27,JUBILEE PARTY,JP
44,RASHID,SULEMAN MGALA,1,MOMBASA,5,LIKONI,60,VIBRANT DEMOCRATIC PARTY,VDP
45,SHAKOMBO,SULEMAN RASHID,1,MOMBASA,5,LIKONI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
46,WAORE,BERNARD ODHIAMBO,1,MOMBASA,5,LIKONI,62,AMANI NATIONAL CONGRESS,ANC
47,AHMED,AHMED HOOD,1,MOMBASA,6,MVITA,40,NEW DEMOCRATS,ND
48,NASSIR,ABDULLSWAMAD SHERIFF,1,MOMBASA,6,MVITA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
49,PARIKH,RISHI ARUN,1,MOMBASA,6,MVITA,IND,INDEPENDENT,IND
50,SHALLO,OMAR MAHMUD MOHAMED,1,MOMBASA,6,MVITA,27,JUBILEE PARTY,JP
51,SHEKUE,SHARIFF ALI,1,MOMBASA,6,MVITA,33,KENYA AFRICAN NATIONAL UNION,KANU
52,WEKOMA,PATRICK ALFRED,1,MOMBASA,6,MVITA,1,NATIONAL RAINBOW COALITION- KENYA,NARC-KENYA
53,BOGA,OMARI IDD,2,KWALE,7,MSAMBWENI,IND,INDEPENDENT,IND
54,KILALO,BASHIRI MOHAMED,2,KWALE,7,MSAMBWENI,27,JUBILEE PARTY,JP
55,MWAKULONDA,ALI HASSANI,2,KWALE,7,MSAMBWENI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
56,MWERO,DICKY CHIKOZA,2,KWALE,7,MSAMBWENI,IND,INDEPENDENT,IND
57,RAMADHANI,SULEIMAN DORI,2,KWALE,7,MSAMBWENI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
58,WAMWACHAI,MARERE MWARAPAYO,2,KWALE,7,MSAMBWENI,2,THE NATIONAL VISION PARTY,NVP
59,KASSIMU,RUSOIRE JUMA,2,KWALE,8,LUNGALUNGA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
60,KITONGA,JOSEPH KITHUKU MUKI,2,KWALE,8,LUNGALUNGA,IND,INDEPENDENT,IND
61,MBULI,OMARI NYANJE,2,KWALE,8,LUNGALUNGA,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
62,MWADZAYA,SAID MBOVU HASSAN WANINI,2,KWALE,8,LUNGALUNGA,42,SHIRIKISHO PARTY OF KENYA,SPK
63,MWASHETANI,KHATIB ABDALLAH,2,KWALE,8,LUNGALUNGA,27,JUBILEE PARTY,JP
64,MWILU,BENSON MUTISYA,2,KWALE,8,LUNGALUNGA,67,MAENDELEO CHAP CHAP PARTY,MCCP
65,NGOME,STEPHEN MKAILA,2,KWALE,8,LUNGALUNGA,62,AMANI NATIONAL CONGRESS,ANC
66,POJJO,KASSIM MWAPOJJO,2,KWALE,8,LUNGALUNGA,60,VIBRANT DEMOCRATIC PARTY,VDP
67,TSUMA,MURABU CHAKA,2,KWALE,8,LUNGALUNGA,33,KENYA AFRICAN NATIONAL UNION,KANU
68,ZONGA,OMAR MBWANA,2,KWALE,8,LUNGALUNGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
69,KITAMBI,MWALIMU DIGORE,2,KWALE,9,MATUGA,27,JUBILEE PARTY,JP
70,MWAKILEO,MASUDI ALI,2,KWALE,9,MATUGA,42,SHIRIKISHO PARTY OF KENYA,SPK
71,MWANYOHA,HASSAN MOHAMED,2,KWALE,9,MATUGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
72,MWARORA,ATHMAN SALIM,2,KWALE,9,MATUGA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
73,TANDAZA,KASSIM SAWA,2,KWALE,9,MATUGA,62,AMANI NATIONAL CONGRESS,ANC
74,KAMANZA,SETH MWATELA,2,KWALE,10,KINANGO,IND,INDEPENDENT,IND
75,KITULA,RICHARD KANG'ELA,2,KWALE,10,KINANGO,IND,INDEPENDENT,IND
76,NURI,NURI KATANA,2,KWALE,10,KINANGO,13,DEMOCRATIC PARTY OF KENYA,DP
77,RAI,SAMUEL GONZI,2,KWALE,10,KINANGO,27,JUBILEE PARTY,JP
78,TAYARI,BENJAMIN DALU STEPHEN,2,KWALE,10,KINANGO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
79,BAYA,OWEN YAA,3,KILIFI,11,KILIFI NORTH,21,ORANGE DEMOCRATIC MOVEMENT,ODM
80,CHAI,ELIUD KALAMA,3,KILIFI,11,KILIFI NORTH,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
81,KAZUNGU,ANTHONY KINGI,3,KILIFI,11,KILIFI NORTH,72,MOVEMENT FOR DEMOCRACY AND GROWTH,MDG
82,MWAMUYE,EDWARD SALEHE,3,KILIFI,11,KILIFI NORTH,62,AMANI NATIONAL CONGRESS,ANC
83,MWENI,PASCAL MAITHA,3,KILIFI,11,KILIFI NORTH,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
84,ZIRO,ESTHER KACHE,3,KILIFI,11,KILIFI NORTH,27,JUBILEE PARTY,JP
85,JEFWA,MAALIM KHAMISI,3,KILIFI,12,KILIFI SOUTH,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
86,KALAMA,SHEDRACK LEWA,3,KILIFI,12,KILIFI SOUTH,IND,INDEPENDENT,IND
87,KITI,RICHARD KEN CHONGA,3,KILIFI,12,KILIFI SOUTH,21,ORANGE DEMOCRATIC MOVEMENT,ODM
88,LEWAH,JAMES CHITUTO,3,KILIFI,12,KILIFI SOUTH,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
89,MUSTAFA,SALIM IDD,3,KILIFI,12,KILIFI SOUTH,27,JUBILEE PARTY,JP
90,TOKALI,ALPHONCE MWAMBURA,3,KILIFI,12,KILIFI SOUTH,62,AMANI NATIONAL CONGRESS,ANC
91,WANYEPE,NICHOLAS MRIMA,3,KILIFI,12,KILIFI SOUTH,IND,INDEPENDENT,IND
92,CHEA,MWINGA GUNGA,3,KILIFI,13,KALOLENI,63,DEVOLUTION PARTY OF KENYA,DPK
93,CHOME,PATIENCE MUKHAMBE MWANGIRI,3,KILIFI,13,KALOLENI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
94,GARAMA,STEPHEN RAPHAEL,3,KILIFI,13,KALOLENI,42,SHIRIKISHO PARTY OF KENYA,SPK
95,KATANA,JOSEPH KAZUNGU,3,KILIFI,13,KALOLENI,54,CHAMA CHA MASHINANI,CCM
96,KATANA,PAUL KAHINDI,3,KILIFI,13,KALOLENI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
97,MATANO,FAHAD LAUZI,3,KILIFI,13,KALOLENI,67,MAENDELEO CHAP CHAP PARTY,MCCP
98,MWARO,HARRY MWERI VIDZO,3,KILIFI,13,KALOLENI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
99,NGOWA,KITSAO KAHINDI,3,KILIFI,13,KALOLENI,27,JUBILEE PARTY,JP
100,RIMBA,MARTIN CHENGO,3,KILIFI,13,KALOLENI,33,KENYA AFRICAN NATIONAL UNION,KANU
101,TSUMA,EDWARD SARO,3,KILIFI,13,KALOLENI,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
102,ZIRO,CHARO DENA,3,KILIFI,13,KALOLENI,72,MOVEMENT FOR DEMOCRACY AND GROWTH,MDG
103,KAMBI,RICKY WANJE,3,KILIFI,14,RABAI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
104,KATAMA,GIDEON MWAMBAJI,3,KILIFI,14,RABAI,40,NEW DEMOCRATS,ND
105,KONDO,ESTHER NDOLOLA,3,KILIFI,14,RABAI,3,THE LABOUR PARTY OF KENYA,LPK
106,MBURA,GETRUDE EMMA,3,KILIFI,14,RABAI,67,MAENDELEO CHAP CHAP PARTY,MCCP
107,MUPE,ANTHONY KENGA,3,KILIFI,14,RABAI,27,JUBILEE PARTY,JP
108,MWAMKALE,WILLIAM KAMOTI,3,KILIFI,14,RABAI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
109,MWINYIHAJI,LWAMBI,3,KILIFI,14,RABAI,33,KENYA AFRICAN NATIONAL UNION,KANU
110,EDWARD,KAHINDI KINGI,3,KILIFI,15,GANZE,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
111,KAHINDI,JOSEPH KINGI A,3,KILIFI,15,GANZE,42,SHIRIKISHO PARTY OF KENYA,SPK
112,KENGA,WILLIAM CHENGO,3,KILIFI,15,GANZE,IND,INDEPENDENT,IND
113,MWAMBIRE,TEDDY NGUMBAO,3,KILIFI,15,GANZE,21,ORANGE DEMOCRATIC MOVEMENT,ODM
114,MWENI,ANDERSON KENGA,3,KILIFI,15,GANZE,33,KENYA AFRICAN NATIONAL UNION,KANU
115,SHEHE,PETER SAFARI,3,KILIFI,15,GANZE,27,JUBILEE PARTY,JP
116,BENJAMIN,NELSON GUNGA,3,KILIFI,16,MALINDI,49,FEDERAL PARTY OF KENYA,FPK
117,CHARO,PHILIP KITSAO,3,KILIFI,16,MALINDI,27,JUBILEE PARTY,JP
118,KATANA,AISHA JUMWA KARISA,3,KILIFI,16,MALINDI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
119,KOMBE,FUAD WASI,3,KILIFI,16,MALINDI,63,DEVOLUTION PARTY OF KENYA,DPK
120,MTENGO,WILLIAM BARAKA,3,KILIFI,16,MALINDI,IND,INDEPENDENT,IND
121,MWIMALI,JUSTUS HARRY ABUKO,3,KILIFI,16,MALINDI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
122,OGELO,RASHID ODHIAMBO,3,KILIFI,16,MALINDI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
123,OTARA,RICHARD ONDARA,3,KILIFI,16,MALINDI,64,UNITED DEMOCRATIC PARTY,UDP
124,BAYA,JUSTINE KAZUNGU,3,KILIFI,17,MAGARINI,64,UNITED DEMOCRATIC PARTY,UDP
125,ESPOSITO,FRANCO KASOSO BAYA,3,KILIFI,17,MAGARINI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
126,KARISA,HAMADI CHADI,3,KILIFI,17,MAGARINI,49,FEDERAL PARTY OF KENYA,FPK
127,KINGI,MICHAEL THOYAH,3,KILIFI,17,MAGARINI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
128,KOMBE,HARRISON GARAMA,3,KILIFI,17,MAGARINI,27,JUBILEE PARTY,JP
129,MALINGI,EMMANUEL GANDE,3,KILIFI,17,MAGARINI,54,CHAMA CHA MASHINANI,CCM
130,MENZA,MWALIMU KATANA,3,KILIFI,17,MAGARINI,62,AMANI NATIONAL CONGRESS,ANC
131,NGUMA,FREDRICK KASIWA,3,KILIFI,17,MAGARINI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
132,ABDI,ANWAR MOHAMUD,4,TANA RIVER,18,GARSEN,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
133,BAYA,MERCY NEMA,4,TANA RIVER,18,GARSEN,63,DEVOLUTION PARTY OF KENYA,DPK
134,DALENO,MOHAMED JUGE,4,TANA RIVER,18,GARSEN,13,DEMOCRATIC PARTY OF KENYA,DP
135,DDAIDDO,FRANKFAITH MAKORANI,4,TANA RIVER,18,GARSEN,IND,INDEPENDENT,IND
136,FIBE,IRENE MATSAWI,4,TANA RIVER,18,GARSEN,32,SOCIAL DEMOCRATIC PARTY OF KENYA,SDP
137,GUYO,ALI WARIO,4,TANA RIVER,18,GARSEN,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
138,GUYO,MOHAMED SALAD,4,TANA RIVER,18,GARSEN,27,JUBILEE PARTY,JP
139,JILLO,MAURICE DULLUH,4,TANA RIVER,18,GARSEN,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
140,MATHEKA,BENARD MUTUA,4,TANA RIVER,18,GARSEN,5,CHAMA MWANGAZA DAIMA,CMD
141,RUHU,JOEL AMUMA,4,TANA RIVER,18,GARSEN,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
142,SANE,IBRAHIM AHMED,4,TANA RIVER,18,GARSEN,31,KENYA PATRIOTS PARTY,KPP
143,SULEIMAN,ABDI BILE,4,TANA RIVER,18,GARSEN,54,CHAMA CHA MASHINANI,CCM
144,WAYU,ALII KOMORA,4,TANA RIVER,18,GARSEN,21,ORANGE DEMOCRATIC MOVEMENT,ODM
145,WELLY,ABDI ALI,4,TANA RIVER,18,GARSEN,62,AMANI NATIONAL CONGRESS,ANC
146,AZIZ,BWANAIDI ABDALLA,4,TANA RIVER,19,GALOLE,67,MAENDELEO CHAP CHAP PARTY,MCCP
147,DUALE,ADHAN MAHAMUD,4,TANA RIVER,19,GALOLE,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
148,DUKICHA,HASSAN ABDI,4,TANA RIVER,19,GALOLE,27,JUBILEE PARTY,JP
149,HIRIBAE,SAID BUYA,4,TANA RIVER,19,GALOLE,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
150,BISHAR,JUMA ODHA,4,TANA RIVER,20,BURA,10,MAZINGIRA GREENS PARTY OF KENYA,MGPK
151,DUBE,MOHAMED HASSAN,4,TANA RIVER,20,BURA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
152,EYOW,FARAH DAHIR,4,TANA RIVER,20,BURA,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
153,KUNO,YAKUB ADOW,4,TANA RIVER,20,BURA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
154,LOKA,MAHADHI ALI,4,TANA RIVER,20,BURA,31,KENYA PATRIOTS PARTY,KPP
155,WARIO,ALI,4,TANA RIVER,20,BURA,27,JUBILEE PARTY,JP
156,ALI,SHARIF ATHMAN,5,LAMU,21,LAMU EAST,27,JUBILEE PARTY,JP
157,KOMBO,SHEKUE KAHALE,5,LAMU,21,LAMU EAST,21,ORANGE DEMOCRATIC MOVEMENT,ODM
158,LOO,AHMED MOHAMED ALI,5,LAMU,21,LAMU EAST,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
159,MADHBUTI,MOHAMED,5,LAMU,21,LAMU EAST,33,KENYA AFRICAN NATIONAL UNION,KANU
160,AHMED,ABDU KASSIM,5,LAMU,22,LAMU WEST,27,JUBILEE PARTY,JP
161,AHMED,RISHAD HAMID,5,LAMU,22,LAMU WEST,21,ORANGE DEMOCRATIC MOVEMENT,ODM
162,KARIUKI,JULIUS NDEGWA,5,LAMU,22,LAMU WEST,34,SAFINA,SAFINA
163,KINYANJUI,ANTONY MWAURA,5,LAMU,22,LAMU WEST,IND,INDEPENDENT,IND
164,MUTHAMA,STANLEY MUIRURI,5,LAMU,22,LAMU WEST,67,MAENDELEO CHAP CHAP PARTY,MCCP
165,MWANGI,ANASTASIA WANJIRU,5,LAMU,22,LAMU WEST,IND,INDEPENDENT,IND
166,NYAGA,MARY IMMACULATE W,5,LAMU,22,LAMU WEST,1,NATIONAL RAINBOW COALITION- KENYA,NARC-KENYA
167,TETT,BETTY NJERI,5,LAMU,22,LAMU WEST,68,DEMOCRATIC CONGRESS,DC
168,CRITICOS,BASIL,6,TAITA TAVETA,23,TAVETA,33,KENYA AFRICAN NATIONAL UNION,KANU
169,LELEWU,RUTH MKUMBULU,6,TAITA TAVETA,23,TAVETA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
170,MAINGI,FREDRICK MULEI,6,TAITA TAVETA,23,TAVETA,IND,INDEPENDENT,IND
171,MRUTTU,MAINA MOSES,6,TAITA TAVETA,23,TAVETA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
172,MUTISO,MORRIS MUINDI,6,TAITA TAVETA,23,TAVETA,62,AMANI NATIONAL CONGRESS,ANC
173,MZARI,HAMISI RASHID,6,TAITA TAVETA,23,TAVETA,49,FEDERAL PARTY OF KENYA,FPK
174,SHABAN,NAOMI NAMSI,6,TAITA TAVETA,23,TAVETA,27,JUBILEE PARTY,JP
175,BARIDI,CROMWEL MWARIGHA,6,TAITA TAVETA,24,WUNDANYI,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
176,MALINGE,PAUL MBWAGHWA,6,TAITA TAVETA,24,WUNDANYI,67,MAENDELEO CHAP CHAP PARTY,MCCP
177,MBASHU,PIUS CHORONGO,6,TAITA TAVETA,24,WUNDANYI,33,KENYA AFRICAN NATIONAL UNION,KANU
178,MWACHIA,SIMON,6,TAITA TAVETA,24,WUNDANYI,27,JUBILEE PARTY,JP
179,MWAKUWONA,DANSON MWASHAKO,6,TAITA TAVETA,24,WUNDANYI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
180,MWANDAWIRO,JULIUS D MGHANGA,6,TAITA TAVETA,24,WUNDANYI,32,SOCIAL DEMOCRATIC PARTY OF KENYA,SDP
181,MWANGOLA,RAYMOND JOEL MWAKIMA,6,TAITA TAVETA,24,WUNDANYI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
182,DAU,PASCAL MLIWA,6,TAITA TAVETA,25,MWATATE,36,CHAMA CHA UZALENDO,CCU
183,ERNEST,DICKSON WAMBARI,6,TAITA TAVETA,25,MWATATE,74,UKWELI PARTY,UP
184,KIRUBAI,GIBSON,6,TAITA TAVETA,25,MWATATE,32,SOCIAL DEMOCRATIC PARTY OF KENYA,SDP
185,MBONDENYI,MORRIS KIWINDA,6,TAITA TAVETA,25,MWATATE,27,JUBILEE PARTY,JP
186,MGHANA,HARRISON BEN,6,TAITA TAVETA,25,MWATATE,62,AMANI NATIONAL CONGRESS,ANC
187,MUGHENYU,JOSEPH KOBIE,6,TAITA TAVETA,25,MWATATE,67,MAENDELEO CHAP CHAP PARTY,MCCP
188,MWADIME,ANDREW,6,TAITA TAVETA,25,MWATATE,21,ORANGE DEMOCRATIC MOVEMENT,ODM
189,KITOLOLO,MANUEL MWAMBACHA,6,TAITA TAVETA,26,VOI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
190,MLOLWA,JONES MWAGOGO,6,TAITA TAVETA,26,VOI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
191,MNGODA,DISHON K MWANZIGE,6,TAITA TAVETA,26,VOI,27,JUBILEE PARTY,JP
192,MWACHARI,NAOMI NDISHA,6,TAITA TAVETA,26,VOI,IND,INDEPENDENT,IND
193,MWAREMA,GODFREY MWANJULU,6,TAITA TAVETA,26,VOI,62,AMANI NATIONAL CONGRESS,ANC
194,MWAZI,JONAH NYANGE,6,TAITA TAVETA,26,VOI,33,KENYA AFRICAN NATIONAL UNION,KANU
195,ADEN,MOHAMED ABDULLAHI,7,GARISSA,27,GARISSA TOWNSHIP,67,MAENDELEO CHAP CHAP PARTY,MCCP
196,DUALE,ADEN BARE,7,GARISSA,27,GARISSA TOWNSHIP,27,JUBILEE PARTY,JP
197,MAALIM,FARAH,7,GARISSA,27,GARISSA TOWNSHIP,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
198,MOHAMED,ABDI YARE,7,GARISSA,27,GARISSA TOWNSHIP,62,AMANI NATIONAL CONGRESS,ANC
199,ADEN,ABDIKADIR OMAR,7,GARISSA,28,BALAMBALA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
200,SHURIE,ABDI OMAR,7,GARISSA,28,BALAMBALA,27,JUBILEE PARTY,JP
201,GARANE,MOHAMED HIRE,7,GARISSA,29,LAGDERA,33,KENYA AFRICAN NATIONAL UNION,KANU
202,MOHAMED,ABDIKADIR HUSSEIN,7,GARISSA,29,LAGDERA,31,KENYA PATRIOTS PARTY,KPP
203,SAYTUN,ABDULQANI IBRAHIM,7,GARISSA,29,LAGDERA,62,AMANI NATIONAL CONGRESS,ANC
204,SHIDIYE,MOHAMED MUKTAR,7,GARISSA,29,LAGDERA,27,JUBILEE PARTY,JP
205,DUALE,MOHAMED DAHIR,7,GARISSA,30,DADAAB,33,KENYA AFRICAN NATIONAL UNION,KANU
206,DUBOW,ABDIKHEIR ABDULLAHI,7,GARISSA,30,DADAAB,27,JUBILEE PARTY,JP
207,KHALIF,MUHSIN MOHAMED,7,GARISSA,30,DADAAB,54,CHAMA CHA MASHINANI,CCM
208,MOULID,ABDULLAHI SALAN,7,GARISSA,30,DADAAB,21,ORANGE DEMOCRATIC MOVEMENT,ODM
209,FARAH,SALAH YAKUB,7,GARISSA,31,FAFI,IND,INDEPENDENT,IND
210,KOLON,IDRISS SAHAL,7,GARISSA,31,FAFI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
211,MOHAMED,ABDIKHAIM OSMAN,7,GARISSA,31,FAFI,33,KENYA AFRICAN NATIONAL UNION,KANU
212,SHILL,ELIAS BARE,7,GARISSA,31,FAFI,27,JUBILEE PARTY,JP
213,ABASS,AHMED IBRAHIM,7,GARISSA,32,IJARA,27,JUBILEE PARTY,JP
214,KORIO,ABDI ADEN,7,GARISSA,32,IJARA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
215,MUHUMED,MUKHTAR BULALE,7,GARISSA,32,IJARA,3,THE LABOUR PARTY OF KENYA,LPK
216,NOOR,SOPHIA ABDI,7,GARISSA,32,IJARA,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
217,SHURIE,ABDIKADIR IBRAHIM,7,GARISSA,32,IJARA,33,KENYA AFRICAN NATIONAL UNION,KANU
218,ISSACK,YUSUF,8,WAJIR,33,WAJIR NORTH,48,ECONOMIC FREEDOM PARTY,EFP
219,ALI,MOHAMED OSMAN,8,WAJIR,33,WAJIR NORTH,29,NATIONAL RAINBOW COALITION,NARC
220,HUSSEIN,IBRAHIM ALI,8,WAJIR,33,WAJIR NORTH,34,SAFINA,SAFINA
221,IBRAHIM,AHMED ABDISALAN,8,WAJIR,33,WAJIR NORTH,21,ORANGE DEMOCRATIC MOVEMENT,ODM
222,MAALIM,ABDIRAHAMAN ALI,8,WAJIR,33,WAJIR NORTH,33,KENYA AFRICAN NATIONAL UNION,KANU
223,MAHAD,MOHAMUD HASSAN,8,WAJIR,33,WAJIR NORTH,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
